track_id,time,x_um,y_um,z_um,sigma_x_um,sigma_y_um,sigma_z_um,photons,background,confidence
124,0.869484725,3.8721368286189954,0.016327662722652,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,213,188522114.3473571,0.875457763671875
124,0.8699589,3.832863813811234,0.03467054513834995,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,243,188522114.3473571,0.766754150390625
124,0.874582925,3.8291012162045317,0.03367101512335584,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,111,188522114.3473571,0.7877197265625
124,0.881009275,3.831398695408536,0.03204181589602414,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,233,188522114.3473571,0.827789306640625
124,0.884704875,3.8311827042141147,0.022851056584353574,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,191,188522114.3473571,0.847991943359375
124,0.88610735,3.8342649368856354,0.0319646001053099,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,114,188522114.3473571,0.3831787109375
124,0.88841985,3.8295781510575226,0.02700732478619895,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,151,188522114.3473571,0.7449951171875
124,0.888894025,3.8281647965102823,0.032565308133146446,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,108,188522114.3473571,0.86688232421875
124,0.890733275,3.8295545120369052,0.03426409970856674,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,114,188522114.3473571,0.8758544921875
124,0.89211745,3.8287989273201077,0.030450916180609723,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,264,188522114.3473571,0.7568359375
124,0.894448025,3.8312885940516392,0.028872528695111043,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,263,188522114.3473571,0.638580322265625
124,0.89586845,3.827848024021817,0.024025726894390028,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,267,188522114.3473571,0.814422607421875
124,0.896342525,3.83007513579418,0.029641254129438528,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,202,188522114.3473571,0.803375244140625
