track_id,time,x_um,y_um,z_um,sigma_x_um,sigma_y_um,sigma_z_um,photons,background,confidence
56,0.416936675,-0.1853692504830673,-1.6525909459218253,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,122,188522114.3473571,0.6134033203125
59,0.45964565,0.12549564494800058,-1.2392298775766986,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,103,188522114.3473571,0.849151611328125
59,0.46102995,0.11846208334735525,-1.3322976915743832,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,130,188522114.3473571,0.5767822265625
59,0.463324375,0.11627199546968313,-1.334167839298891,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,116,188522114.3473571,0.753021240234375
59,0.46745715,0.12045701743262469,-1.3344665026600568,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,112,188522114.3473571,0.89111328125
59,0.47524805,0.11507481531333125,-1.3300597949222914,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,106,188522114.3473571,0.884033203125
59,0.4807461,0.11428471518976914,-1.3384148425102833,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,102,188522114.3473571,0.857147216796875
59,0.4830406,0.11358690022245714,-1.3335679309487745,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,114,188522114.3473571,0.602142333984375
59,0.48579015,0.116966935596942,-1.333921782268429,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,106,188522114.3473571,0.825103759765625
59,0.498623025,0.11974100177038521,-1.3347834766095479,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,101,188522114.3473571,0.61798095703125
59,0.505504325,0.12080533896097048,-1.3390040393653464,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,103,188522114.3473571,0.72784423828125
59,0.5119114,0.11633681482505,-1.3332051990786513,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,115,188522114.3473571,0.86669921875
59,0.524724275,0.11816966393157172,-1.3380724353899371,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,116,188522114.3473571,0.860595703125
59,0.527928925,0.1194140487036731,-1.3342370167185575,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,110,188522114.3473571,0.56646728515625
59,0.532041675,0.11663296961668262,-1.3319059925369778,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,106,188522114.3473571,0.707244873046875
