track_id,time,x_um,y_um,z_um,sigma_x_um,sigma_y_um,sigma_z_um,photons,background,confidence
42,0.33329385,6.2570283905474025,-8.42082187927076,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,171,188522114.3473571,0.87432861328125
46,0.378572975,6.971242550782658,-8.160294664113849,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,109,188522114.3473571,0.57220458984375
46,0.38086735,6.9761626615998305,-8.135809394764372,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,112,188522114.3473571,0.835418701171875
46,0.38636545,6.972631783944077,-8.138449171348336,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,112,188522114.3473571,0.77972412109375
46,0.38865995,6.970259469442539,-8.137131104975767,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,106,188522114.3473571,0.648284912109375
49,0.4651942,7.1662476267887945,-7.768665119635215,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,107,188522114.3473571,0.408538818359375
49,0.476167525,7.1619948154529025,-7.77527352376567,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,101,188522114.3473571,0.556182861328125
49,0.4834833,7.166738272484152,-7.774498658061958,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,101,188522114.3473571,0.86517333984375
49,0.491232275,7.16251730698991,-7.7745745918956395,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,111,188522114.3473571,0.45013427734375
49,0.504454825,7.1645343968001445,-7.7706068062490035,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,101,188522114.3473571,0.37078857421875
49,0.5272526,7.169368234709389,-7.77014195632392,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,107,188522114.3473571,0.817108154296875
49,0.537273725,7.170399539737855,-7.771280817365804,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,101,188522114.3473571,0.7415771484375
53,0.61429385,7.695598426377064,-7.293098447569032,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,135,188522114.3473571,0.830841064453125
53,0.62984935,7.73625775082161,-7.328287387474115,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,117,188522114.3473571,0.7476806640625
53,0.633071925,7.729941051591687,-7.329453256570536,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,130,188522114.3473571,0.624847412109375
53,0.64042635,7.733685100548505,-7.330128567847728,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,109,188522114.3473571,0.743865966796875
53,0.6440842,7.736282396698533,-7.328493417713873,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,120,188522114.3473571,0.88519287109375
53,0.6454685,7.736578295184446,-7.326770614956343,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,142,188522114.3473571,0.789642333984375
53,0.64869105,7.737045671923223,-7.32552505827362,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,119,188522114.3473571,0.89166259765625
55,0.673207275,8.209541596917983,-7.1091962919450244,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,121,188522114.3473571,0.514984130859375
55,0.6741365,8.20395262212628,-7.144263143719828,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,119,188522114.3473571,0.786773681640625
55,0.676922225,8.201147592807063,-7.141342904510429,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,104,188522114.3473571,0.660888671875
55,0.67785145,8.200354416474221,-7.1417378446686115,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,108,188522114.3473571,0.86688232421875
55,0.6796907,8.202205612718593,-7.141041366390812,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,117,188522114.3473571,0.58746337890625
55,0.68061985,8.199880960630157,-7.141543514811472,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,119,188522114.3473571,0.681854248046875
55,0.684333625,8.201258664450338,-7.141244741618113,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,109,188522114.3473571,0.6866455078125
55,0.685717925,8.199007529203879,-7.142548068029919,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,132,188522114.3473571,0.6622314453125
55,0.691649075,8.198837149527968,-7.142633285336125,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,133,188522114.3473571,0.70379638671875
55,0.6925782,8.199759286956795,-7.147478860299926,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,123,188522114.3473571,0.710296630859375
55,0.695363825,8.198937418067759,-7.145248159706846,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,104,188522114.3473571,0.84112548828125
55,0.70087605,8.196074490810494,-7.14600577690066,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,150,188522114.3473571,0.790008544921875
55,0.70453305,8.197832468049555,-7.1443016143198435,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,114,188522114.3473571,0.8758544921875
55,0.70546215,8.195844034215389,-7.146327419962856,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,124,188522114.3473571,0.7049560546875
55,0.710502675,8.200201706301012,-7.148276998845538,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,120,188522114.3473571,0.8331298828125
55,0.72105605,8.194478085755128,-7.1433361907863775,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,100,188522114.3473571,0.810791015625
55,0.72291345,8.192566482901167,-7.142112698291588,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,117,188522114.3473571,0.69427490234375
55,0.7238426,8.1962265963558,-7.142348867670454,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,111,188522114.3473571,0.506378173828125
55,0.724771825,8.197150784618017,-7.14602128586019,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,124,188522114.3473571,0.55389404296875
55,0.72755745,8.198913614237652,-7.143457223414919,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,134,188522114.3473571,0.884246826171875
55,0.731688175,8.19593338967669,-7.147612032966286,0.0,0.07559999999999999,0.07559999999999999,0.07559999999999999,114,188522114.3473571,0.766357421875
